lr: 0.001
epochs: 500
weight_decay: 1e-05
model: Transolver_Structured_Mesh_3D
n_hidden: 128
n_layers: 8
n_heads: 8
batch_size: 32
gpu: 0
max_grad_norm: 0.1
mlp_ratio: 1
dropout: 0.0
slice_num: 64
eval: 0
resume: 0
save_name: 7
data_path: ./data
log_name: 7
resume_name: 

Epoch	Train Loss	Test Error
449	0.046687	0.601484
450	0.044966	0.606722
451	0.046208	0.603385
452	0.045804	0.573997
453	0.046070	0.588228
454	0.046169	0.592153
455	0.045488	0.594235
456	0.046022	0.587847
457	0.046305	0.591921
458	0.045394	0.603704
459	0.045740	0.594011
460	0.046294	0.594313
461	0.045856	0.604404
462	0.045575	0.608075
463	0.046253	0.606602
464	0.045145	0.614669
465	0.046374	0.624166
466	0.044270	0.609654
467	0.046042	0.613372
468	0.045964	0.614706
469	0.045415	0.607234
470	0.045973	0.600884
471	0.045338	0.606091
472	0.045462	0.607231
473	0.045810	0.616631
474	0.045008	0.606378
475	0.044666	0.604997
476	0.045750	0.603190
477	0.045471	0.605277
478	0.045983	0.612282
479	0.045659	0.610373
480	0.046140	0.609846
481	0.045245	0.612724
482	0.044756	0.611233
483	0.045447	0.615334
484	0.044232	0.620330
485	0.045388	0.617278
486	0.045132	0.614409
487	0.045461	0.614988
488	0.044871	0.618969
489	0.045132	0.613984
490	0.045724	0.615493
491	0.044967	0.615189
492	0.045315	0.614417
493	0.044415	0.614597
494	0.044896	0.614043
495	0.044712	0.614222
496	0.045138	0.614444
497	0.044631	0.614656
498	0.043896	0.614679
499	0.045622	0.614733
500	0.045273	0.614712
